epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1037.28,0.94004,0.43128,0.80135,0.92499,0.73987,0.80415,0.52668,0.91387,0.45711,0.80815,0.00828,0.00828,0.00828
45,1059.92,0.96261,0.43489,0.79645,0.94069,0.74287,0.80528,0.52192,0.94437,0.45806,0.80865,0.00824,0.00824,0.00824
46,1082.52,0.94822,0.43604,0.79822,0.9447,0.7265,0.79997,0.54416,0.86037,0.4491,0.80381,0.0082,0.0082,0.0082
47,1105.09,0.93955,0.43022,0.7963,0.86169,0.75171,0.79588,0.55333,0.85168,0.44407,0.79617,0.00816,0.00816,0.00816
48,1127.71,0.93463,0.42729,0.79694,0.82945,0.7287,0.78912,0.5372,0.81035,0.44172,0.79546,0.00812,0.00812,0.00812
49,1150.29,0.92918,0.42353,0.79717,0.89462,0.7268,0.8203,0.55652,0.8381,0.43234,0.80174,0.00808,0.00808,0.00808
50,1172.92,0.93026,0.42617,0.79495,0.94598,0.71678,0.83126,0.56002,0.82729,0.44237,0.79945,0.00804,0.00804,0.00804
51,1195.53,0.90891,0.42186,0.79527,0.87664,0.75337,0.81746,0.56118,0.84551,0.44109,0.80499,0.008,0.008,0.008
52,1218.1,0.93203,0.4254,0.79655,0.90308,0.75634,0.81739,0.56484,0.83013,0.43088,0.8031,0.00796,0.00796,0.00796
53,1241,0.91135,0.41888,0.79822,0.92946,0.75231,0.82562,0.55545,0.82507,0.42496,0.80266,0.00792,0.00792,0.00792
54,1263.61,0.89753,0.41936,0.7958,0.95664,0.75915,0.83451,0.56732,0.83295,0.42245,0.80148,0.00788,0.00788,0.00788
55,1286.45,0.88861,0.41459,0.79698,0.97227,0.73918,0.83233,0.56945,0.82837,0.42599,0.80307,0.00784,0.00784,0.00784
56,1309.33,0.89155,0.41116,0.79957,0.96312,0.75692,0.83722,0.56911,0.81121,0.42437,0.80094,0.0078,0.0078,0.0078
57,1331.88,0.88397,0.41533,0.79423,0.91505,0.74812,0.8168,0.55453,0.81731,0.43152,0.79711,0.00776,0.00776,0.00776
58,1354.5,0.91302,0.41738,0.79248,0.94056,0.7594,0.84216,0.56972,0.82699,0.4363,0.79625,0.00772,0.00772,0.00772
59,1377.37,0.89087,0.41145,0.79308,0.90643,0.76474,0.82024,0.56928,0.79158,0.42567,0.79625,0.00768,0.00768,0.00768
60,1399.97,0.88702,0.41184,0.79195,0.93242,0.74221,0.81266,0.5635,0.79426,0.42066,0.79889,0.00764,0.00764,0.00764
61,1422.58,0.88171,0.40782,0.79324,0.92391,0.7547,0.82975,0.57306,0.81789,0.42892,0.80007,0.0076,0.0076,0.0076
62,1445.47,0.87797,0.40631,0.79538,0.94482,0.75504,0.82544,0.56164,0.8235,0.42245,0.80097,0.00756,0.00756,0.00756
63,1468.06,0.87372,0.40471,0.79485,0.90969,0.73148,0.7975,0.56313,0.80359,0.41452,0.80024,0.00752,0.00752,0.00752
64,1490.67,0.87222,0.39857,0.79531,0.86623,0.7269,0.81346,0.54469,0.82423,0.41958,0.80158,0.00748,0.00748,0.00748
65,1513.26,0.8564,0.39961,0.79198,0.9165,0.75837,0.82915,0.58353,0.78497,0.4046,0.79632,0.00744,0.00744,0.00744
66,1536.17,0.85311,0.3963,0.79246,0.95485,0.73561,0.8313,0.58477,0.7835,0.40237,0.79446,0.0074,0.0074,0.0074
67,1559.07,0.85279,0.39382,0.79151,0.90017,0.77539,0.82673,0.5845,0.81044,0.42006,0.79356,0.00736,0.00736,0.00736
68,1581.7,0.85377,0.39288,0.79173,0.91119,0.74649,0.81954,0.56866,0.81598,0.41587,0.79865,0.00732,0.00732,0.00732
69,1604.33,0.8375,0.39143,0.78932,0.95559,0.73391,0.83731,0.56447,0.83934,0.41759,0.80351,0.00728,0.00728,0.00728
70,1626.98,0.82625,0.38705,0.79021,0.8837,0.74624,0.8272,0.56107,0.83671,0.43035,0.79781,0.00724,0.00724,0.00724
71,1649.57,0.8511,0.39406,0.79228,0.94773,0.76036,0.83126,0.57383,0.79084,0.4043,0.79527,0.0072,0.0072,0.0072
72,1672.2,0.84666,0.39119,0.79281,0.91894,0.73956,0.80544,0.55886,0.76907,0.41422,0.79771,0.00716,0.00716,0.00716
73,1694.79,0.82913,0.38585,0.79089,0.96077,0.71234,0.81432,0.56184,0.80251,0.4274,0.79911,0.00712,0.00712,0.00712
74,1717.41,0.82781,0.38638,0.79119,0.94941,0.73283,0.82759,0.57535,0.79193,0.41954,0.79905,0.00708,0.00708,0.00708
75,1740.01,0.82209,0.38125,0.79199,0.93632,0.72323,0.80341,0.57648,0.78771,0.40187,0.79809,0.00704,0.00704,0.00704
76,1762.59,0.82248,0.38281,0.79282,0.94609,0.74303,0.83092,0.5856,0.77848,0.40402,0.79638,0.007,0.007,0.007
77,1785.47,0.82001,0.37829,0.79034,0.94581,0.7424,0.81511,0.58355,0.76071,0.39225,0.79415,0.00696,0.00696,0.00696
78,1808.11,0.82954,0.38172,0.78888,0.97176,0.75166,0.83281,0.58196,0.79126,0.40819,0.79448,0.00692,0.00692,0.00692
79,1830.69,0.81975,0.38169,0.78891,0.93765,0.75504,0.8183,0.58573,0.79319,0.39975,0.79647,0.00688,0.00688,0.00688
80,1853.56,0.81065,0.37757,0.78696,0.93302,0.73845,0.82251,0.55883,0.81008,0.40623,0.79954,0.00684,0.00684,0.00684
81,1876.14,0.82176,0.37802,0.78855,0.97754,0.76069,0.8329,0.57896,0.78887,0.40448,0.79443,0.0068,0.0068,0.0068
82,1898.75,0.80221,0.37329,0.78956,0.89682,0.74215,0.82816,0.59685,0.76711,0.40112,0.794,0.00676,0.00676,0.00676
83,1921.61,0.79436,0.37133,0.78833,0.92022,0.7384,0.81941,0.58659,0.75317,0.39873,0.79501,0.00672,0.00672,0.00672
84,1944.19,0.79029,0.36766,0.78995,0.93011,0.75394,0.8333,0.56933,0.79107,0.40368,0.79769,0.00668,0.00668,0.00668
85,1966.81,0.79184,0.37338,0.78685,0.94697,0.7456,0.84394,0.58611,0.76144,0.39634,0.79323,0.00664,0.00664,0.00664
86,1989.42,0.79953,0.37008,0.78868,0.89134,0.7663,0.82713,0.58513,0.7668,0.39388,0.79504,0.0066,0.0066,0.0066
87,2011.97,0.77641,0.36327,0.7881,0.91434,0.73497,0.81263,0.5789,0.77912,0.40123,0.79608,0.00656,0.00656,0.00656
88,2034.56,0.7827,0.36652,0.78756,0.83997,0.7454,0.80192,0.57394,0.7916,0.40375,0.79722,0.00652,0.00652,0.00652
89,2057.12,0.76866,0.36306,0.7878,0.9416,0.74047,0.81855,0.56963,0.81063,0.41384,0.79654,0.00648,0.00648,0.00648
90,2079.7,0.78195,0.36881,0.78814,0.89019,0.73838,0.81231,0.57418,0.77725,0.40971,0.79437,0.00644,0.00644,0.00644
91,2102.28,0.76232,0.35913,0.78875,0.90221,0.7398,0.80271,0.56895,0.7885,0.40408,0.79657,0.0064,0.0064,0.0064
92,2124.84,0.75916,0.36225,0.78658,0.88078,0.73897,0.80369,0.5712,0.7738,0.38938,0.79675,0.00636,0.00636,0.00636
93,2147.45,0.79044,0.36571,0.7857,0.91777,0.71494,0.81402,0.57318,0.77861,0.39024,0.79573,0.00632,0.00632,0.00632
94,2170.03,0.77904,0.36161,0.78708,0.9492,0.71458,0.83055,0.5681,0.79257,0.39759,0.79559,0.00628,0.00628,0.00628
95,2192.56,0.74977,0.3566,0.78444,0.9574,0.73974,0.83663,0.58629,0.76952,0.40042,0.79358,0.00624,0.00624,0.00624
96,2215.13,0.74629,0.35603,0.78369,0.95663,0.7259,0.81913,0.56937,0.78254,0.41106,0.79521,0.0062,0.0062,0.0062
97,2237.68,0.73996,0.35019,0.78465,0.91612,0.71178,0.80867,0.58218,0.78721,0.40085,0.79596,0.00616,0.00616,0.00616
98,2260.27,0.75795,0.35289,0.78645,0.91201,0.73224,0.80741,0.57185,0.8021,0.39894,0.79646,0.00612,0.00612,0.00612
99,2282.84,0.74847,0.35074,0.78681,0.94391,0.74578,0.83469,0.59899,0.75942,0.39971,0.79316,0.00608,0.00608,0.00608
100,2305.66,0.75524,0.35303,0.78655,0.91698,0.71169,0.81325,0.57979,0.7698,0.39794,0.79506,0.00604,0.00604,0.00604
101,2328.23,0.73898,0.34577,0.7859,0.9147,0.74329,0.81591,0.58154,0.78062,0.39056,0.79625,0.006,0.006,0.006
102,2350.85,0.74791,0.35092,0.78529,0.96956,0.73717,0.82074,0.57337,0.78731,0.39089,0.79552,0.00596,0.00596,0.00596
103,2373.43,0.7251,0.3423,0.78416,0.94721,0.74454,0.82252,0.58996,0.76063,0.38536,0.79553,0.00592,0.00592,0.00592
104,2396.05,0.733,0.34988,0.78148,0.92574,0.73955,0.83807,0.60126,0.761,0.38681,0.7923,0.00588,0.00588,0.00588
105,2419.01,0.74087,0.34455,0.78284,0.91233,0.72693,0.82783,0.57945,0.78002,0.39276,0.79377,0.00584,0.00584,0.00584
106,2443.16,0.72056,0.34281,0.78604,0.90871,0.74599,0.83148,0.59233,0.76277,0.39294,0.7916,0.0058,0.0058,0.0058
107,2468.61,0.71689,0.33893,0.78372,0.95416,0.73334,0.81314,0.57121,0.78858,0.40545,0.79113,0.00576,0.00576,0.00576
108,2491.6,0.72311,0.34243,0.7823,0.93391,0.7479,0.82946,0.57503,0.77973,0.392,0.79403,0.00572,0.00572,0.00572
109,2514.6,0.72171,0.34052,0.78413,0.91391,0.75038,0.82968,0.57553,0.77391,0.38641,0.79387,0.00568,0.00568,0.00568
110,2537.51,0.7057,0.33513,0.78349,0.92785,0.75313,0.82109,0.57387,0.7769,0.39062,0.79361,0.00564,0.00564,0.00564
111,2560.37,0.71002,0.33797,0.78363,0.92753,0.73287,0.81795,0.56776,0.77281,0.392,0.79474,0.0056,0.0056,0.0056
112,2583.2,0.7051,0.33588,0.78392,0.8854,0.75037,0.80956,0.56555,0.77998,0.39081,0.79459,0.00556,0.00556,0.00556
113,2606.05,0.69611,0.33241,0.78365,0.9694,0.71204,0.81376,0.57008,0.76599,0.38781,0.79459,0.00552,0.00552,0.00552
114,2628.87,0.70185,0.33299,0.78045,0.964,0.74676,0.8243,0.58253,0.77463,0.38072,0.79523,0.00548,0.00548,0.00548
115,2651.69,0.71214,0.33415,0.7815,0.91558,0.72223,0.81563,0.56415,0.78743,0.39493,0.79604,0.00544,0.00544,0.00544
116,2674.74,0.70092,0.33158,0.78192,0.97364,0.69656,0.83479,0.58122,0.76767,0.39223,0.79324,0.0054,0.0054,0.0054
117,2697.69,0.69902,0.3323,0.78327,0.94083,0.73667,0.82998,0.59984,0.76522,0.39283,0.79401,0.00536,0.00536,0.00536
118,2720.52,0.69185,0.32945,0.78235,0.91805,0.74856,0.82796,0.58274,0.76995,0.38542,0.79517,0.00532,0.00532,0.00532
